Installation,Type,Source,Indicator,Value,Resolution,set,Set
LAS MOLLACAS,deseasonalized,ERA5-Land,pearson,0.5253118019305115,Hourly,subset_2,S2
LUNA DEL NORTE,deseasonalized,ERA5-Land,pearson,0.7801451270891921,Hourly,subset_2,S2
SOL DEL NORTE,deseasonalized,ERA5-Land,pearson,0.7803818885285716,Hourly,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,pearson,0.7877334039192448,Hourly,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,pearson,0.7314110291586691,Hourly,subset_2,S2
SPS LA HUAYCA,deseasonalized,ERA5-Land,pearson,0.8474674831128745,Hourly,subset_2,S2
LAS MOLLACAS,deseasonalized,Rn,pearson,0.4578720277223896,Hourly,subset_2,S2
LUNA DEL NORTE,deseasonalized,Rn,pearson,0.7441992675741104,Hourly,subset_2,S2
SOL DEL NORTE,deseasonalized,Rn,pearson,0.7365936538086925,Hourly,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,pearson,0.7524330386349322,Hourly,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,Rn,pearson,0.7289739845413038,Hourly,subset_2,S2
SPS LA HUAYCA,deseasonalized,Rn,pearson,0.8400994408183107,Hourly,subset_2,S2
LAS MOLLACAS,deseasonalized,ERA5-Land,mbe,0.045317203000803434,Hourly,subset_2,S2
LUNA DEL NORTE,deseasonalized,ERA5-Land,mbe,-0.021172075765082805,Hourly,subset_2,S2
SOL DEL NORTE,deseasonalized,ERA5-Land,mbe,-0.024595842711730254,Hourly,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,mbe,0.019956235553918972,Hourly,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,mbe,0.008426535922134276,Hourly,subset_2,S2
SPS LA HUAYCA,deseasonalized,ERA5-Land,mbe,0.004087019410476045,Hourly,subset_2,S2
LAS MOLLACAS,deseasonalized,Rn,mbe,0.04962846259472244,Hourly,subset_2,S2
LUNA DEL NORTE,deseasonalized,Rn,mbe,0.05025231548246501,Hourly,subset_2,S2
SOL DEL NORTE,deseasonalized,Rn,mbe,0.04676007869850456,Hourly,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,mbe,0.04191482750744789,Hourly,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,Rn,mbe,0.03484472454459064,Hourly,subset_2,S2
SPS LA HUAYCA,deseasonalized,Rn,mbe,0.006105972251746701,Hourly,subset_2,S2
LAS MOLLACAS,deseasonalized,ERA5-Land,rmse,0.17074727417227129,Hourly,subset_2,S2
LUNA DEL NORTE,deseasonalized,ERA5-Land,rmse,0.1173825278134357,Hourly,subset_2,S2
SOL DEL NORTE,deseasonalized,ERA5-Land,rmse,0.11849611658977503,Hourly,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,rmse,0.1155275085249886,Hourly,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,rmse,0.1323781810975676,Hourly,subset_2,S2
SPS LA HUAYCA,deseasonalized,ERA5-Land,rmse,0.08422149182946909,Hourly,subset_2,S2
LAS MOLLACAS,deseasonalized,Rn,rmse,0.17666516548962438,Hourly,subset_2,S2
LUNA DEL NORTE,deseasonalized,Rn,rmse,0.12863044589508715,Hourly,subset_2,S2
SOL DEL NORTE,deseasonalized,Rn,rmse,0.12958789692195685,Hourly,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,rmse,0.12253587825501037,Hourly,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,Rn,rmse,0.13569490835164014,Hourly,subset_2,S2
SPS LA HUAYCA,deseasonalized,Rn,rmse,0.0807970690448146,Hourly,subset_2,S2
LAS MOLLACAS,deseasonalized,ERA5-Land,pearson,0.7284794883706593,Daily,subset_2,S2
LUNA DEL NORTE,deseasonalized,ERA5-Land,pearson,0.8755289023815622,Daily,subset_2,S2
SOL DEL NORTE,deseasonalized,ERA5-Land,pearson,0.8738157687976145,Daily,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,pearson,0.9033079919348534,Daily,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,pearson,0.8315417618357656,Daily,subset_2,S2
SPS LA HUAYCA,deseasonalized,ERA5-Land,pearson,0.9120001151786152,Daily,subset_2,S2
LAS MOLLACAS,deseasonalized,Rn,pearson,0.6860787593837322,Daily,subset_2,S2
LUNA DEL NORTE,deseasonalized,Rn,pearson,0.8200811566053448,Daily,subset_2,S2
SOL DEL NORTE,deseasonalized,Rn,pearson,0.8108216643913909,Daily,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,pearson,0.83846004732232,Daily,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,Rn,pearson,0.7946053675280066,Daily,subset_2,S2
SPS LA HUAYCA,deseasonalized,Rn,pearson,0.8757966809683423,Daily,subset_2,S2
LAS MOLLACAS,deseasonalized,ERA5-Land,mbe,0.048505297397769515,Daily,subset_2,S2
LUNA DEL NORTE,deseasonalized,ERA5-Land,mbe,-0.018145797598627788,Daily,subset_2,S2
SOL DEL NORTE,deseasonalized,ERA5-Land,mbe,-0.021551148409893993,Daily,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,mbe,0.02162704207920792,Daily,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,mbe,0.009592040694195095,Daily,subset_2,S2
SPS LA HUAYCA,deseasonalized,ERA5-Land,mbe,0.004838700823421776,Daily,subset_2,S2
LAS MOLLACAS,deseasonalized,Rn,mbe,0.05287369888475836,Daily,subset_2,S2
LUNA DEL NORTE,deseasonalized,Rn,mbe,0.05360077186963979,Daily,subset_2,S2
SOL DEL NORTE,deseasonalized,Rn,mbe,0.050013780918727914,Daily,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,mbe,0.04459566831683168,Daily,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,Rn,mbe,0.03626923997606224,Daily,subset_2,S2
SPS LA HUAYCA,deseasonalized,Rn,mbe,0.006986184812442817,Daily,subset_2,S2
LAS MOLLACAS,deseasonalized,ERA5-Land,rmse,0.10046555953368476,Daily,subset_2,S2
LUNA DEL NORTE,deseasonalized,ERA5-Land,rmse,0.06866577566630933,Daily,subset_2,S2
SOL DEL NORTE,deseasonalized,ERA5-Land,rmse,0.07056141555924443,Daily,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,rmse,0.06337906962542254,Daily,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,rmse,0.07348328139871464,Daily,subset_2,S2
SPS LA HUAYCA,deseasonalized,ERA5-Land,rmse,0.04190614759024556,Daily,subset_2,S2
LAS MOLLACAS,deseasonalized,Rn,rmse,0.10823354631687505,Daily,subset_2,S2
LUNA DEL NORTE,deseasonalized,Rn,rmse,0.09364576501538831,Daily,subset_2,S2
SOL DEL NORTE,deseasonalized,Rn,rmse,0.09361456360756391,Daily,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,rmse,0.0877623374306264,Daily,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,Rn,rmse,0.08846278017878426,Daily,subset_2,S2
SPS LA HUAYCA,deseasonalized,Rn,rmse,0.05011682153278426,Daily,subset_2,S2
LAS MOLLACAS,deseasonalized,ERA5-Land,pearson,0.9607505411220381,Monthly,subset_2,S2
LUNA DEL NORTE,deseasonalized,ERA5-Land,pearson,0.9552127659343836,Monthly,subset_2,S2
SOL DEL NORTE,deseasonalized,ERA5-Land,pearson,0.9647944180439834,Monthly,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,pearson,0.9628951238955075,Monthly,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,pearson,0.951731528761607,Monthly,subset_2,S2
SPS LA HUAYCA,deseasonalized,ERA5-Land,pearson,0.9765474893683724,Monthly,subset_2,S2
